Year,Nationality,الجنسية,Sex,الجنس,Governorate,المحافظات,Population
2010,Bahraini,بحريني,Female,انثى,Not Stated,غير مبين,0
2010,Non-Bahraini,غير بحريني,Male,ذكر,Muharraq,المحرق,56518
2010,Non-Bahraini,غير بحريني,Male,ذكر,Central,الوسطى,117418
2010,Non-Bahraini,غير بحريني,Male,ذكر,Not Stated,غير مبين,9299
2010,Non-Bahraini,غير بحريني,Female,انثى,Capital,العاصمة,69869
2010,Non-Bahraini,غير بحريني,Female,انثى,Muharraq,المحرق,29232
2010,Non-Bahraini,غير بحريني,Female,انثى,Central,الوسطى,35419
2011,Bahraini,بحريني,Male,ذكر,Not Stated,غير مبين,0
2011,Bahraini,بحريني,Female,انثى,Capital,العاصمة,32969
2011,Bahraini,بحريني,Female,انثى,Muharraq,المحرق,52044
2011,Bahraini,بحريني,Female,انثى,Central,الوسطى,87869
2011,Bahraini,بحريني,Female,انثى,Not Stated,غير مبين,0
2011,Non-Bahraini,غير بحريني,Male,ذكر,Muharraq,المحرق,55407
2011,Non-Bahraini,غير بحريني,Male,ذكر,Northern,الشمالية,47841
2011,Non-Bahraini,غير بحريني,Female,انثى,Central,الوسطى,30849
2012,Bahraini,بحريني,Male,ذكر,Northern,الشمالية,105918
2012,Bahraini,بحريني,Female,انثى,Capital,العاصمة,81154
2012,Bahraini,بحريني,Female,انثى,Northern,الشمالية,102707
2012,Bahraini,بحريني,Female,انثى,Southern,الجنوبية,56654
2012,Non-Bahraini,غير بحريني,Male,ذكر,Capital,العاصمة,246209
2012,Non-Bahraini,غير بحريني,Female,انثى,Northern,الشمالية,24620
2013,Bahraini,بحريني,Male,ذكر,Capital,العاصمة,83169
2013,Bahraini,بحريني,Male,ذكر,Northern,الشمالية,109589
2013,Bahraini,بحريني,Female,انثى,Capital,العاصمة,81807
2013,Non-Bahraini,غير بحريني,Male,ذكر,Capital,العاصمة,259189
2014,Bahraini,بحريني,Male,ذكر,Northern,الشمالية,112992
2014,Bahraini,بحريني,Female,انثى,Muharraq,المحرق,57565
2014,Non-Bahraini,غير بحريني,Male,ذكر,Capital,العاصمة,255870
